PeakID,Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
chr2-9575,chr2,238750927,238751100,+,1,NA,"3' UTR (NM_001080504: exon 16 of 16)","3' UTR (NM_001080504: exon 16 of 16)",-17173,NM_005855,10267,Hs.471783,XM_005246056,ENSG00000132329,RAMP1,-,receptor (G protein-coupled) activity modifying protein 1,protein-coding
chr14-157,chr14,53102098,53102271,+,1,NA,"3' UTR (NM_001099652: exon 7 of 7)","3' UTR (NM_001099652: exon 7 of 7)",60234,NM_014584,30001,Hs.592304,NM_014584,,ERO1L,ERO1-alpha|ERO1A|ERO1LA,ERO1-like (S. cerevisiae),protein-coding
chr2-3383,chr2,173916990,173917163,+,1,NA,"3' UTR (NM_001100397: exon 28 of 28)","3' UTR (NM_001100397: exon 28 of 28)",-23488,NM_133646,51776,Hs.444451,XM_005246639,ENSG00000091436,ZAK,AZK|MLK7|MLT|MLTK|MRK|mlklak|pk,sterile alpha motif and leucine zipper containing kinase AZK,protein-coding
chr2-2188,chr2,54045551,54045724,+,1,NA,"3' UTR (NM_001127397: exon 13 of 13)","3' UTR (NM_001127397: exon 13 of 13)",30704,NR_037453,100500850,,NR_037453,,MIR3682,-,microRNA 3682,ncRNA
chr2-751,chr2,30382778,30382951,+,1,NA,"3' UTR (NM_001127399: exon 4 of 4)","3' UTR (NM_001127399: exon 4 of 4)",13115,NM_016061,51646,Hs.515890,XM_005264366,ENSG00000119801,YPEL5,-,yippee-like 5 (Drosophila),protein-coding
chr12-2303,chr12,12943748,12943921,+,1,NA,"3' UTR (NM_001130415: exon 2 of 2)","3' UTR (NM_001130415: exon 2 of 2)",5294,NM_030817,81575,Hs.719938,XM_005253489,ENSG00000178878,APOLD1,VERGE,apolipoprotein L domain containing 1,protein-coding
chr16-506,chr16,9852633,9852806,+,1,NA,"3' UTR (NM_001134407: exon 13 of 13)","3' UTR (NM_001134407: exon 13 of 13)",-194472,NR_106988,102465753,,NR_106988,,MIR7641-2,B-ATF|hsa-mir-7641-2,microRNA mir-7641-2,ncRNA
chr2-563,chr2,183964048,183964221,+,1,NA,"3' UTR (NM_001142314: exon 3 of 3)","3' UTR (NM_001142314: exon 3 of 3)",-18083,NM_001287584,129401,Hs.180591,XM_005246284,ENSG00000163002,NUP35,MP-44|MP44|NP44|NUP53,nucleoporin 35kDa,protein-coding
chrY-57,chrY,2849455,2849628,+,1,NA,"3' UTR (NM_001145276: exon 7 of 7)","3' UTR (NM_001145276: exon 7 of 7)",-21495,NR_046502,100873962,Hs.267256,NR_046502,ENSG00000231535,LINC00278,NCRNA00278|RP13-348B13.2,long intergenic non-protein coding RNA 278,ncRNA
chr6-3758,chr6,35551865,35552038,+,1,NA,"3' UTR (NM_001145777: exon 7 of 7)","3' UTR (NM_001145777: exon 7 of 7)",-71273,NM_003322,7287,Hs.485208,XM_005249360,ENSG00000112041,TULP1,LCA15|RP14|TUBL1,tubby like protein 1,protein-coding
chr7-4602,chr7,94922347,94922520,+,1,NA,"3' UTR (NM_001166163: exon 14 of 14)","3' UTR (NM_001166163: exon 14 of 14)",31450,NM_000446,5444,Hs.370995,NM_000446,,PON1,ESA|MVCD5|PON,paraoxonase 1,protein-coding
chr1-787,chr1,85112890,85113063,+,1,NA,"3' UTR (NM_001166295: exon 13 of 13)","3' UTR (NM_001166295: exon 13 of 13)",-12274,NR_027379,439927,Hs.407054,NM_001033660,ENSG00000180869,C1orf180,-,chromosome 1 open reading frame 180,ncRNA
chr6-2156,chr6,88221524,88221697,+,1,NA,"3' UTR (NM_001168398: exon 7 of 7)","3' UTR (NM_001168398: exon 7 of 7)",38968,NM_001168398,10559,Hs.423163,XM_005248640,ENSG00000164414,SLC35A1,CDG2F|CMPST|CST|hCST,"solute carrier family 35 (CMP-sialic acid transporter): member A1",protein-coding
chr3-742,chr3,63987080,63987253,+,1,NA,"3' UTR (NM_001177387: exon 13 of 13)","3' UTR (NM_001177387: exon 13 of 13)",-2531,NR_038286,100507062,Hs.593613,NR_038286,ENSG00000239653,PSMD6-AS2,RP11-245J9.2,PSMD6 antisense RNA 2,ncRNA
chr12-132,chr12,1019417,1019590,+,1,NA,"3' UTR (NM_001184985: exon 28 of 28)","3' UTR (NM_001184985: exon 28 of 28)",39359,NM_134424,5893,Hs.410355,XM_005253720,ENSG00000002016,RAD52,RP11-359B12.2,RAD52 homolog (S. cerevisiae),protein-coding
chr5-1986,chr5,54515735,54515908,+,1,NA,"3' UTR (NM_001190787: exon 7 of 7)","3' UTR (NM_001190787: exon 7 of 7)",7321,NM_001190787,345643,Hs.394578,NM_001190787,ENSG00000234602,MCIDAS,IDAS|MCI|MCIN,multiciliate differentiation and DNA synthesis associated cell cycle protein,protein-coding
chr13-64,chr13,20664723,20664896,+,1,NA,"3' UTR (NM_001190965: exon 25 of 25)","3' UTR (NM_001190965: exon 25 of 25)",70373,NM_021954,2700,Hs.130313,XM_005266353,ENSG00000121743,GJA3,CTRCT14|CX46|CZP3,"gap junction protein: alpha 3: 46kDa",protein-coding
chr6-2953,chr6,135238598,135238771,+,1,NA,"3' UTR (NM_001193480: exon 6 of 6)","3' UTR (NM_001193480: exon 6 of 6)",32575,NM_170771,64577,Hs.486520,NM_001193480,ENSG00000118514,ALDH8A1,ALDH12|DJ352A20.2,"aldehyde dehydrogenase 8 family: member A1",protein-coding
chr11-170,chr11,35252851,35253024,+,1,NA,"3' UTR (NM_001202556: exon 8 of 8)","3' UTR (NM_001202556: exon 8 of 8)",92521,NM_001202556,960,Hs.502328,XM_005253231,ENSG00000026508,CD44,CDW44|CSPG8|ECMR-III|HCELL|HUTCH-I|IN|LHR|MC56|MDU2|MDU3|MIC4|Pgp1,CD44 molecule (Indian blood group),protein-coding
chr4-1605,chr4,122737651,122737824,+,1,NA,"3' UTR (NM_001237: exon 8 of 8)","3' UTR (NM_001237: exon 8 of 8)",7350,NM_001237,890,Hs.58974,XM_005263326,ENSG00000145386,CCNA2,CCN1|CCNA,cyclin A2,protein-coding
chr12-810,chr12,93970165,93970338,+,1,NA,"3' UTR (NM_001270469: exon 3 of 3)","3' UTR (NM_001270469: exon 3 of 3)",3950,NM_001270471,8835,Hs.737206,XM_005269213,ENSG00000120833,SOCS2,CIS2|Cish2|SOCS-2|SSI-2|SSI2|STATI2,suppressor of cytokine signaling 2,protein-coding
chr6-7158,chr6,146758243,146758416,+,1,NA,"3' UTR (NM_001278065: exon 10 of 10)","3' UTR (NM_001278065: exon 10 of 10)",-106498,NM_006834,10981,Hs.287714,NM_006834,ENSG00000118508,RAB32,-,"RAB32: member RAS oncogene family",protein-coding
chr8-3094,chr8,54960073,54960246,+,1,NA,"3' UTR (NM_001279358: exon 9 of 9)","3' UTR (NM_001279358: exon 9 of 9)",-25144,NR_109901,6917,Hs.491745,XM_005251289,ENSG00000187735,TCEA1,GTF2S|SII|TCEA|TF2S|TFIIS,"transcription elongation factor A (SII): 1",protein-coding
chr17-160,chr17,63006262,63006435,+,1,NA,"3' UTR (NM_001282425: exon 4 of 4)","3' UTR (NM_001282425: exon 4 of 4)",-34646,NR_026903,201283,Hs.396447,NM_153032,ENSG00000214174,AMZ2P1,-,archaelysin family metallopeptidase 2 pseudogene 1,pseudo
chr4-3286,chr4,94694761,94694934,+,1,NA,"3' UTR (NM_001510: exon 16 of 16)","3' UTR (NM_001510: exon 16 of 16)",-55230,NM_005172,474,Hs.532680,NM_005172,ENSG00000172238,ATOH1,ATH1|HATH1|MATH-1|bHLHa14,atonal homolog 1 (Drosophila),protein-coding
chr4-1276,chr4,76942860,76943033,+,1,NA,"3' UTR (NM_001565: exon 4 of 4)","3' UTR (NM_001565: exon 4 of 4)",1742,NM_001565,3627,Hs.632586,NM_001565,ENSG00000169245,CXCL10,C7|IFI10|INP10|IP-10|SCYB10|crg-2|gIP-10|mob-1,chemokine (C-X-C motif) ligand 10,protein-coding
chr18-8,chr18,60998470,60998643,+,1,NA,"3' UTR (NM_002035: exon 10 of 10)","3' UTR (NM_002035: exon 10 of 10)",-11944,NM_000657,596,Hs.150749,XM_005266735,ENSG00000171791,BCL2,Bcl-2|PPP1R50,B-cell CLL/lymphoma 2,protein-coding
chr2-2347,chr2,69551728,69551901,+,1,NA,"3' UTR (NM_002056: exon 19 of 19)","3' UTR (NM_002056: exon 19 of 19)",62571,NM_001244710,2673,Hs.580300,NM_001244710,ENSG00000198380,GFPT1,CMSTA1|GFA|GFAT|GFAT 1|GFAT1|GFAT1m|GFPT|GFPT1L|MSLG,glutamine--fructose-6-phosphate transaminase 1,protein-coding
chr9-1231,chr9,80333845,80334018,+,1,NA,"3' UTR (NM_002072: exon 7 of 7)","3' UTR (NM_002072: exon 7 of 7)",-70700,NM_004297,9630,Hs.657795,NM_004297,ENSG00000156049,GNA14,-,"guanine nucleotide binding protein (G protein): alpha 14",protein-coding
chr11-2895,chr11,59342607,59342780,+,1,NA,"3' UTR (NM_002556: exon 14 of 14)","3' UTR (NM_002556: exon 14 of 14)",19937,NR_036120,100422880,,NR_036120,,MIR3162,-,microRNA 3162,ncRNA
chr12-3229,chr12,56989448,56989621,+,1,NA,"3' UTR (NM_002898: exon 14 of 14)","3' UTR (NM_002898: exon 14 of 14)",40628,NM_013449,11176,Hs.314263,XM_005268596,ENSG00000076108,BAZ2A,TIP5|WALp3,"bromodomain adjacent to zinc finger domain: 2A",protein-coding
chr4-244,chr4,96087034,96087207,+,1,NA,"3' UTR (NM_003728: exon 16 of 16)","3' UTR (NM_003728: exon 16 of 16)",74479,NM_001256794,658,Hs.598475,XM_005263179,ENSG00000138696,BMPR1B,ALK-6|ALK6|CDw293,"bone morphogenetic protein receptor: type IB",protein-coding
chr8-142,chr8,110577418,110577591,+,1,NA,"3' UTR (NM_004215: exon 7 of 7)","3' UTR (NM_004215: exon 7 of 7)",24650,NM_001278938,9166,Hs.632960,XM_005251097,ENSG00000147654,EBAG9,EB9|PDAF,"estrogen receptor binding site associated: antigen: 9",protein-coding
chr9-492,chr9,74864286,74864459,+,1,NA,"3' UTR (NM_004293: exon 14 of 14)","3' UTR (NM_004293: exon 14 of 14)",100106,NM_004293,9615,Hs.494163,XM_005252317,ENSG00000119125,GDA,CYPIN|GUANASE|NEDASIN,guanine deaminase,protein-coding
chr13-2998,chr13,41790731,41790904,+,1,NA,"3' UTR (NM_004294: exon 10 of 10)","3' UTR (NM_004294: exon 10 of 10)",-22116,NM_032138,84078,Hs.63841,NM_032138,,KBTBD7,-,kelch repeat and BTB (POZ) domain containing 7,protein-coding
chr8-2291,chr8,133137843,133138016,+,1,NA,"3' UTR (NM_004519: exon 15 of 15)","3' UTR (NM_004519: exon 15 of 15)",-20418,NM_001145095,10086,Hs.285026,NM_005712,ENSG00000132297,HHLA1,PLA2L,HERV-H LTR-associating 1,protein-coding
chr13-2751,chr13,33639404,33639577,+,1,NA,"3' UTR (NM_004795: exon 5 of 5)","3' UTR (NM_004795: exon 5 of 5)",48920,NM_004795,9365,Hs.524953,NM_004795,ENSG00000133116,KL,-,klotho,protein-coding
chr4-464,chr4,56299938,56300111,+,1,NA,"3' UTR (NM_004898: exon 23 of 23)","3' UTR (NM_004898: exon 23 of 23)",37945,NR_073070,55858,Hs.479766,NM_018475,ENSG00000134851,TMEM165,CDG2K|FT27|GDT1|TMPT27|TPARL,transmembrane protein 165,protein-coding
chr1-735,chr1,77556710,77556883,+,1,NA,"3' UTR (NM_005482: exon 11 of 11)","3' UTR (NM_005482: exon 11 of 11)",30969,NR_106978,102466995,,NR_106978,,MIR7156,hsa-mir-7156,microRNA mir-7156,ncRNA
chr13-421,chr13,95057279,95057452,+,1,NA,"3' UTR (NM_005708: exon 9 of 9)","3' UTR (NM_005708: exon 9 of 9)",74570,NM_001922,1638,Hs.301865,NM_001129889,ENSG00000080166,DCT,TRP-2|TYRP2,dopachrome tautomerase,protein-coding
chr2-1478,chr2,188330936,188331109,+,1,NA,"3' UTR (NM_006287: exon 8 of 8)","3' UTR (NM_006287: exon 8 of 8)",-18002,NM_005795,10203,Hs.744587,XM_005246231,ENSG00000064989,CALCRL,CGRPR|CRLR,calcitonin receptor-like,protein-coding
chr20-823,chr20,46283655,46283828,+,1,NA,"3' UTR (NM_006534: exon 23 of 23)","3' UTR (NM_006534: exon 23 of 23)",131066,NM_018837,55959,Hs.162016,XM_005260458,ENSG00000196562,SULF2,HSULF-2,sulfatase 2,protein-coding
chr6-393,chr6,100956237,100956410,+,1,NA,"3' UTR (NM_006828: exon 42 of 42)","3' UTR (NM_006828: exon 42 of 42)",-44773,NM_005068,6492,Hs.520293,XM_005267100,ENSG00000112246,SIM1,bHLHe14,single-minded family bHLH transcription factor 1,protein-coding
chr2-8506,chr2,191834214,191834387,+,1,NA,"3' UTR (NM_007315: exon 25 of 25)","3' UTR (NM_007315: exon 25 of 25)",44675,NM_007315,6772,Hs.743244,XM_005246815,ENSG00000115415,STAT1,CANDF7|ISGF-3|STAT91,"signal transducer and activator of transcription 1: 91kDa",protein-coding
chr7-416,chr7,131176754,131176927,+,1,NA,"3' UTR (NM_013255: exon 18 of 18)","3' UTR (NM_013255: exon 18 of 18)",64535,NM_005397,5420,Hs.744213,NM_001018111,ENSG00000128567,PODXL,Gp200|PC|PCLP|PCLP-1,podocalyxin-like,protein-coding
chr6-1106,chr6,119229026,119229199,+,1,NA,"3' UTR (NM_014034: exon 4 of 4)","3' UTR (NM_014034: exon 4 of 4)",13872,NM_014034,25842,Hs.292316,NM_014034,ENSG00000111875,ASF1A,CGI-98|CIA|HSPC146,anti-silencing function 1A histone chaperone,protein-coding
chr1-5924,chr1,179045073,179045246,+,1,NA,"3' UTR (NM_014864: exon 8 of 8)","3' UTR (NM_014864: exon 8 of 8)",-5952,NM_022371,64222,Hs.584957,XM_005245445,,TOR3A,ADIR|ADIR2,"torsin family 3: member A",protein-coding
chr10-3374,chr10,93809084,93809257,+,1,NA,"3' UTR (NM_014912: exon 10 of 10)","3' UTR (NM_014912: exon 10 of 10)",125435,NM_003972,9044,Hs.500526,XM_005270265,ENSG00000095564,BTAF1,MOT1|TAF(II)170|TAF172|TAFII170,"BTAF1 RNA polymerase II: B-TFIID transcription factor-associated: 170kDa",protein-coding
chr10-1483,chr10,93810268,93810441,+,1,NA,"3' UTR (NM_014912: exon 10 of 10)","3' UTR (NM_014912: exon 10 of 10)",126619,NM_003972,9044,Hs.500526,XM_005270265,ENSG00000095564,BTAF1,MOT1|TAF(II)170|TAF172|TAFII170,"BTAF1 RNA polymerase II: B-TFIID transcription factor-associated: 170kDa",protein-coding
chr8-49,chr8,79630957,79631130,+,1,NA,"3' UTR (NM_016010: exon 9 of 9)","3' UTR (NM_016010: exon 9 of 9)",5565,NR_077236,101241902,Hs.388511,NR_077236,,LOC101241902,-,chromosome 4 open reading frame 46 pseudogene,pseudo
chr1-245,chr1,218508047,218508220,+,1,NA,"3' UTR (NM_016052: exon 5 of 5)","3' UTR (NM_016052: exon 5 of 5)",-10542,NM_003238,7042,Hs.133379,XR_247036,ENSG00000092969,TGFB2,LDS4|TGF-beta2,"transforming growth factor: beta 2",protein-coding
chr12-1154,chr12,29493670,29493843,+,1,NA,"3' UTR (NM_016570: exon 14 of 14)","3' UTR (NM_016570: exon 14 of 14)",-22976,NR_103860,100506606,Hs.298851,NR_103860,ENSG00000257176,RP11-996F15.2,-,uncharacterized LOC100506606,ncRNA
chr1-597,chr1,36319418,36319591,+,1,NA,"3' UTR (NM_017629: exon 18 of 18)","3' UTR (NM_017629: exon 18 of 18)",-29305,NM_012199,26523,Hs.656677,XM_005270746,ENSG00000092847,AGO1,EIF2C|EIF2C1|GERP95|Q99,argonaute RISC catalytic component 1,protein-coding
chr10-1487,chr10,94111844,94112017,+,1,NA,"3' UTR (NM_017824: exon 6 of 6)","3' UTR (NM_017824: exon 6 of 6)",61011,NM_017824,54708,Hs.573490,XM_005269923,ENSG00000198060,5-Mar,MARCH-V|MITOL|RNF153,membrane-associated ring finger (C3HC4) 5,protein-coding
chr10-913,chr10,30600161,30600334,+,1,NA,"3' UTR (NM_018109: exon 9 of 9)","3' UTR (NM_018109: exon 9 of 9)",38019,NM_018109,55149,Hs.173946,XM_005252486,ENSG00000107951,MTPAP,PAPD1|SPAX4,mitochondrial poly(A) polymerase,protein-coding
chr13-3149,chr13,48620053,48620226,+,1,NA,"3' UTR (NM_018283: exon 3 of 3)","3' UTR (NM_018283: exon 3 of 3)",8437,NM_018283,55270,Hs.144407,NM_018283,ENSG00000136159,NUDT15,MTH2|RP11-90M2.1,nudix (nucleoside diphosphate linked moiety X)-type motif 15,protein-coding
chr10-1439,chr10,90033988,90034161,+,1,NA,"3' UTR (NM_018363: exon 7 of 7)","3' UTR (NM_018363: exon 7 of 7)",309007,NM_018363,55328,Hs.149849,XM_005269946,ENSG00000184719,RNLS,C10orf59|RENALASE,"renalase: FAD-dependent amine oxidase",protein-coding
chr7-43,chr7,7285549,7285722,+,1,NA,"3' UTR (NM_020156: exon 4 of 4)","3' UTR (NM_020156: exon 4 of 4)",-9149,NR_108073,101927354,Hs.520664,XR_242125,,LOC101927354,-,uncharacterized LOC101927354,ncRNA
chr22-84,chr22,41324755,41324928,+,1,NA,"3' UTR (NM_022098: exon 10 of 10)","3' UTR (NM_022098: exon 10 of 10)",-22509,NM_014248,9978,Hs.474949,NM_014248,,RBX1,BA554C12.1|RNF75|ROC1,"ring-box 1: E3 ubiquitin protein ligase",protein-coding
chr12-2073,chr12,102140837,102141010,+,1,NA,"3' UTR (NM_024312: exon 21 of 21)","3' UTR (NM_024312: exon 21 of 21)",-7674,NM_001177948,50511,Hs.506504,XM_005268922,ENSG00000139351,SYCP3,COR1|SCP3|SPGF4,synaptonemal complex protein 3,protein-coding
chr20-324,chr20,43118437,43118610,+,1,NA,"3' UTR (NM_024331: exon 6 of 6)","3' UTR (NM_024331: exon 6 of 6)",13998,NM_024331,79183,Hs.283869,XM_005260549,ENSG00000124120,TTPAL,C20orf121,tocopherol (alpha) transfer protein-like,protein-coding
chr4-6124,chr4,56238694,56238867,+,1,NA,"3' UTR (NM_024592: exon 5 of 5)","3' UTR (NM_024592: exon 5 of 5)",12966,NR_037969,100506462,Hs.718667,NR_037969,ENSG00000249700,SRD5A3-AS1,-,SRD5A3 antisense RNA 1,ncRNA
chr19-152,chr19,53667030,53667203,+,1,NA,"3' UTR (NM_024733: exon 4 of 4)","3' UTR (NM_024733: exon 4 of 4)",-4795,NM_001172675,84671,Hs.467239,XM_005259335,ENSG00000197937,ZNF347,ZNF1111,zinc finger protein 347,protein-coding
chr12-516,chr12,46577264,46577437,+,1,NA,"3' UTR (NM_030674: exon 17 of 17)","3' UTR (NM_030674: exon 17 of 17)",82927,NM_001278389,81539,Hs.533770,NM_001077484,ENSG00000111371,SLC38A1,ATA1|NAT2|SAT1|SNAT1,"solute carrier family 38: member 1",protein-coding
chr18-474,chr18,65175589,65175762,+,1,NA,"3' UTR (NM_032160: exon 2 of 2)","3' UTR (NM_032160: exon 2 of 2)",-8107,NR_033921,643542,Hs.652901,NR_033921,ENSG00000265533,RP11-638L3.1,-,uncharacterized LOC643542,ncRNA
chr8-1201,chr8,42877786,42877959,+,1,NA,"3' UTR (NM_032410: exon 22 of 22)","3' UTR (NM_032410: exon 22 of 22)",-33569,NR_033698,2339,Hs.370312,NM_002027,ENSG00000168522,FNTA,FPTA|PGGT1A|PTAR2,"farnesyltransferase: CAAX box: alpha",protein-coding
chr12-1198,chr12,40149216,40149389,+,1,NA,"3' UTR (NM_052885: exon 10 of 10)","3' UTR (NM_052885: exon 10 of 10)",129331,NM_001031748,283461,Hs.648205,XM_005268806,ENSG00000180116,C12orf40,-,chromosome 12 open reading frame 40,protein-coding
chr15-1792,chr15,83673687,83673860,+,1,NA,"3' UTR (NM_144597: exon 4 of 4)","3' UTR (NM_144597: exon 4 of 4)",6619,NM_001160116,123207,Hs.352541,XM_005272419,ENSG00000169609,C15orf40,-,chromosome 15 open reading frame 40,protein-coding
chr11-622,chr11,95503509,95503682,+,1,NA,"3' UTR (NM_144664: exon 10 of 10)","3' UTR (NM_144664: exon 10 of 10)",19358,NM_144664,143684,Hs.288304,XM_005273775,ENSG00000077458,FAM76B,-,"family with sequence similarity 76: member B",protein-coding
chr6-2529,chr6,109953530,109953703,+,1,NA,"3' UTR (NM_145025: exon 12 of 12)","3' UTR (NM_145025: exon 12 of 12)",58798,NM_145025,221264,Hs.205144,XM_005266859,ENSG00000155085,AK9,AK 9|AKD1|AKD2|C6orf199|C6orf224|RP1-70A9.1|dJ70A9.1,adenylate kinase 9,protein-coding
chr4-3536,chr4,108831826,108831999,+,1,NA,"3' UTR (NM_152621: exon 6 of 6)","3' UTR (NM_152621: exon 6 of 6)",17493,NM_001136257,166929,Hs.595423,XM_005262793,ENSG00000164023,SGMS2,SMS2,sphingomyelin synthase 2,protein-coding
chr5-781,chr5,57791485,57791658,+,1,NA,"3' UTR (NM_152687: exon 3 of 3)","3' UTR (NM_152687: exon 3 of 3)",4242,NM_152687,202309,Hs.547697,XM_005248467,,GAPT,C5orf29,"GRB2-binding adaptor protein: transmembrane",protein-coding
chr5-1430,chr5,172565086,172565259,+,1,NA,"3' UTR (NM_153607: exon 9 of 9)","3' UTR (NM_153607: exon 9 of 9)",-6272,NM_001205,662,Hs.145726,NM_001205,ENSG00000113734,BNIP1,NIP1|SEC20|TRG-8,BCL2/adenovirus E1B 19kDa interacting protein 1,protein-coding
chr2-2588,chr2,101966093,101966266,+,1,NA,"3' UTR (NM_153836: exon 4 of 4)","3' UTR (NM_153836: exon 4 of 4)",37785,NM_153836,200407,Hs.732289,XM_005263898,,CREG2,-,cellular repressor of E1A-stimulated genes 2,protein-coding
chr3-4373,chr3,37476632,37476805,+,1,NA,"3' UTR (NM_178339: exon 6 of 6)","3' UTR (NM_178339: exon 6 of 6)",-17094,NM_002207,3680,Hs.113157,NM_002207,,ITGA9,ALPHA-RLC|ITGA4L|RLC,"integrin: alpha 9",protein-coding
chr2-2106,chr2,49189443,49189616,+,1,NA,"3' UTR (NM_181446: exon 9 of 9)","3' UTR (NM_181446: exon 9 of 9)",192136,NM_000145,2492,Hs.1428,XM_005264242,ENSG00000170820,FSHR,FSHRO|LGR1|ODG1,follicle stimulating hormone receptor,protein-coding
chr17-82,chr17,72608241,72608414,+,1,NA,"3' UTR (NM_181449: exon 4 of 4)","3' UTR (NM_181449: exon 4 of 4)",11569,NM_181449,342510,Hs.158954,NM_181449,ENSG00000186407,CD300E,CD300LE|CLM-2|CLM2|CMRF35-A5|IREM-2|IREM2|PIgR-2|PIgR2,CD300e molecule,protein-coding
chr4-557,chr4,90166696,90166869,+,1,NA,"3' UTR (NM_198281: exon 2 of 2)","3' UTR (NM_198281: exon 2 of 2)",62378,NM_198281,285513,Hs.605082,XM_005262936,,GPRIN3,GRIN3,GPRIN family member 3,protein-coding
chr1-304,chr1,71472685,71472858,+,1,NA,"3' UTR (NM_198715: exon 2 of 2)","3' UTR (NM_198715: exon 2 of 2)",-39417,NR_038420,100132618,Hs.720513,NR_038420,,ZRANB2-AS1,RP11-108P2.1,ZRANB2 antisense RNA 1,ncRNA
chrX-88,chrX,103439579,103439752,+,1,NA,"3' UTR (NM_207318: exon 6 of 6)","3' UTR (NM_207318: exon 6 of 6)",28510,NM_207318,139231,Hs.496535,XM_005262079,ENSG00000123575,FAM199X,CXorf39,"family with sequence similarity 199: X-linked",protein-coding
chr9-96,chr9,108310685,108310858,+,1,NA,"3' UTR (NM_207647: exon 13 of 13)","3' UTR (NM_207647: exon 13 of 13)",-9639,NM_006731,2218,Hs.55777,XM_005251803,ENSG00000106692,FKTN,CMD1X|FCMD|LGMD2M|MDDGA4|MDDGB4|MDDGC4,fukutin,protein-coding
chr2-8939,chr2,208866466,208866639,+,1,NA,"5' UTR (NM_001080475: exon 2 of 8)","5' UTR (NM_001080475: exon 2 of 8)",23731,NM_001080475,389072,Hs.709906,XM_005246543,ENSG00000178385,PLEKHM3,DAPR|PLEKHM1L,"pleckstrin homology domain containing: family M: member 3",protein-coding
